Age_08_04,KM,HP,Quarterly_Tax,Weight,Guarantee_Period,Met_Color,Color,Automatic,CC,Doors,Mfr_Guarantee,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Parking_Assistant,Tow_Bar,Id,Price
23,46986,90,210,1165,3,1,Blue,0,1300,3,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,13500
23,72937,90,210,1165,3,1,Silver,0,1300,3,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,2,13750
30,38500,90,210,1170,3,0,Black,0,1300,3,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,5,13750
25,31461,192,100,1185,12,0,Silver,0,1800,3,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,11,20950
25,32189,192,100,1185,3,0,Red,0,1800,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,13,19600
31,23000,192,100,1185,3,1,Black,0,1800,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,14,21500
28,18739,192,100,1185,3,0,Grey,0,1800,3,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,16,22000
30,34000,192,100,1185,3,1,Grey,0,1800,3,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,17,22750
24,21716,110,85,1105,18,1,Blue,0,1600,3,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,18,17950
30,64359,110,85,1105,3,1,Grey,0,1600,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,20,16950
30,67660,110,85,1105,3,1,Blue,0,1600,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,21,15950
29,43905,110,100,1170,3,0,Grey,1,1600,3,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,22,16950
28,56349,110,85,1120,3,1,Black,0,1600,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,23,15950
28,32220,110,85,1120,3,1,Black,0,1600,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,24,16950
25,28450,110,85,1120,3,1,Blue,0,1600,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,26,15950
27,34545,110,85,1120,3,1,Blue,0,1600,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,27,17495
29,41415,110,85,1120,3,1,Black,0,1600,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,28,15750
30,11090,110,85,1120,3,1,Blue,0,1600,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,30,17950
29,9750,97,19,1100,12,1,Silver,0,1400,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,12950
27,29510,97,85,1100,3,1,Black,0,1400,3,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,33,15950
26,32692,97,85,1100,3,1,Grey,0,1400,3,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,34,14950
26,43000,97,85,1100,3,0,Grey,0,1400,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,36,15750
25,25000,97,85,1100,3,0,Grey,0,1400,3,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,37,15950
23,10000,97,85,1100,3,1,Blue,0,1400,3,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,38,14950
32,25329,97,85,1100,3,1,Green,0,1400,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,39,15750
22,49059,97,85,1100,3,0,Blue,0,1400,3,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,41,13950
27,44068,97,85,1100,3,1,Red,0,1400,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,42,16750
22,46961,97,85,1100,3,0,Blue,0,1400,3,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,43,13950
27,110404,90,234,1255,3,0,Red,0,1300,5,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,44,16950
27,79375,90,234,1255,3,1,Grey,0,1300,5,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,47,17950
22,75048,97,85,1110,3,1,Blue,0,1400,5,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,48,15800
22,72215,90,234,1255,3,1,Grey,0,1300,5,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,49,17950
30,57086,97,85,1110,3,1,Grey,0,1400,5,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,52,15750
26,56000,110,100,1180,3,1,Blue,1,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,53,20500
27,49866,192,100,1195,13,1,Green,0,1800,5,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,54,21950
25,49163,110,100,1165,3,0,Green,1,1600,5,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,55,15500
32,45725,110,85,1075,3,1,Black,0,1600,5,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,56,13250
28,43210,97,85,1110,3,0,Grey,0,1400,5,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,57,15250
26,43000,97,85,1110,3,0,Grey,0,1400,5,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,58,15250
23,39704,110,100,1180,3,1,Blue,1,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,59,18950
30,38950,110,85,1130,3,1,Red,0,1600,5,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,60,15999
27,37177,110,85,1130,3,0,Red,0,1600,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,62,16500
31,36544,110,85,1130,3,1,Blue,0,1600,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,63,18750
30,33511,110,85,1130,3,1,Blue,0,1600,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,64,17950
27,32809,97,85,1110,3,1,Black,0,1400,5,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,65,17950
26,32181,110,19,1075,12,1,Blue,0,1600,5,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,66,16950
28,30993,110,85,1130,3,1,Black,0,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,67,18950
25,29719,97,85,1110,3,1,Black,0,1400,5,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,70,15950
28,29206,97,85,1110,3,1,Grey,0,1400,5,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,71,15950
28,28817,110,85,1130,3,1,Grey,0,1300,5,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,73,18950
23,28000,110,85,1115,3,1,Grey,0,1600,5,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,76,16950
31,25266,110,85,1130,3,1,Grey,0,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,77,18750
27,23489,110,85,1115,3,0,Silver,0,1600,5,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,78,18450
29,22575,110,85,1115,3,1,Grey,0,1600,5,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,79,16895
25,20019,110,100,1180,3,1,Blue,1,1600,5,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,81,18950
31,16238,110,100,1180,3,1,Blue,1,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,84,17950
25,15414,97,85,1110,3,1,Grey,0,1400,5,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,85,16650
28,8537,110,85,1130,3,1,Grey,0,1600,5,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,86,17450
30,7000,97,85,1100,12,1,Silver,0,1400,5,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,87,14900
20,66966,90,210,1245,3,1,Blue,0,1300,3,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,88,17950
19,51884,97,85,1100,3,1,Grey,0,1400,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,89,15950
20,48110,97,85,1100,3,1,Black,0,1400,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,91,16450
20,37500,90,234,1260,3,1,Black,0,1300,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,92,22250
16,34472,90,234,1260,3,1,Grey,0,1300,3,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,93,19950
20,33329,97,85,1100,3,1,Grey,0,1400,3,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,94,15950
20,31850,110,85,1120,20,0,Black,0,1600,3,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,95,18900
19,29435,97,85,1100,3,1,Black,0,1400,3,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,97,15950
19,25948,97,85,1100,3,1,Blue,0,1400,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,98,15950
11,24500,110,85,1120,3,1,Blue,0,1600,3,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,99,18750
18,23902,97,85,1100,3,1,Grey,0,1400,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,100,17450
20,23175,110,85,1120,3,1,Grey,0,1600,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,101,18990
19,19200,97,85,1100,3,1,Blue,0,1400,3,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,102,16250
11,16123,110,85,1105,3,1,Grey,0,1600,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,104,18500
11,14635,110,100,1155,3,1,Blue,1,1600,3,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,105,19450
19,13748,97,85,1100,3,1,Green,0,1400,3,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,106,16950
14,11500,110,69,1045,12,1,Blue,0,1600,3,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,107,18800
20,7187,110,85,1105,3,1,Blue,0,1600,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,109,17950
4,4000,116,283,1480,3,1,Grey,0,1300,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,112,31000
8,13253,116,234,1320,3,1,Grey,0,1300,5,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,114,24950
8,13253,116,234,1320,3,1,Grey,0,1300,5,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,115,24950
7,10000,116,234,1270,3,1,Silver,0,1300,5,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,116,22950
8,6000,90,234,1280,3,1,Grey,0,1300,5,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,117,24990
8,10841,90,234,1270,3,1,Grey,0,1300,5,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,118,21950
7,1,110,85,1105,3,1,Grey,0,1600,3,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,119,17900
20,63000,90,234,1255,3,1,Blue,0,1300,5,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,120,19250
19,51099,90,234,1255,3,1,Silver,0,1300,5,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,123,19950
14,40010,110,85,1115,3,1,Black,0,1600,5,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,124,16350
17,36012,110,85,1130,3,0,Red,0,1600,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,126,16950
16,36000,110,85,1130,3,1,Black,0,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,127,21750
20,36000,110,19,1075,3,1,Blue,0,1600,5,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,128,15950
20,35000,97,85,1110,3,1,Blue,0,1400,5,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,129,16500
17,33740,97,85,1135,3,1,Blue,0,1400,5,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,130,17950
13,33477,110,19,1075,3,1,Black,0,1600,5,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,131,15850
20,32627,97,85,1110,3,1,Grey,0,1400,5,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,132,16250
20,29797,97,85,1110,3,1,Blue,0,1400,5,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,133,15950
19,29441,97,85,1110,3,1,Blue,0,1400,5,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,134,16250
13,29371,110,19,1105,24,1,Black,0,1600,4,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,135,15950
20,29000,97,85,1110,3,0,Blue,0,1400,5,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,136,16500
19,27821,97,85,1110,3,0,Grey,0,1400,5,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,137,16500
19,27371,97,85,1135,3,0,Black,0,1400,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,138,18450
13,25170,110,19,1105,24,1,Black,0,1600,5,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,139,16250
11,25000,116,64,1320,3,1,Grey,0,1300,5,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,140,23000
20,22588,97,85,1110,3,1,Silver,0,1400,5,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,142,16450
19,21684,192,19,1185,12,1,Silver,0,1800,5,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,143,23950
13,21428,110,85,1130,3,1,Black,0,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,144,19950
15,20270,110,85,1130,3,1,Blue,0,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,146,18950
20,20000,110,100,1165,3,0,Blue,1,1600,5,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,148,20500
13,19988,110,85,1130,3,1,Grey,0,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,149,24500
19,18328,110,85,1130,3,0,Grey,0,1600,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,150,19450
14,17896,110,85,1150,3,1,Silver,1,1600,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,151,20950
20,17300,97,85,1110,3,1,Grey,0,1400,5,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,152,17200
19,17038,110,85,1130,3,0,Black,0,1600,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,153,19950
10,13747,97,85,1110,3,1,Black,0,1400,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,154,18450
13,13178,110,85,1130,3,1,Black,0,1600,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,156,21750
16,13000,110,85,1105,3,1,Grey,0,1600,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,158,19500
17,11999,110,85,1130,3,1,Grey,0,1600,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,160,19750
16,11754,110,100,1180,3,0,Grey,1,1600,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,161,19750
17,10000,110,85,1105,12,0,Silver,0,1300,5,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,163,20750
9,7650,110,85,1115,3,1,Silver,0,1600,5,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,164,19600
14,6500,110,85,1100,28,1,Silver,0,1600,4,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,165,19500
11,6155,97,85,1110,3,1,Blue,0,1400,5,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,166,17650
14,6000,110,85,1130,3,0,Blue,0,1600,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,167,19950
14,5459,110,85,1130,3,1,Grey,0,1600,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,168,19950
14,5278,110,85,1150,3,1,Silver,1,1600,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,169,20950
12,5000,110,85,1130,3,1,Black,0,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,170,20500
9,1,98,19,1065,36,1,Silver,0,1400,4,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,171,17795
8,11000,110,85,1130,24,1,Blue,0,1600,5,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,173,23750
8,10077,97,85,1110,3,1,Black,0,1400,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,174,19500
8,9788,110,85,1130,3,1,Silver,0,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,176,21950
8,8574,110,85,1130,3,1,Black,0,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,177,19950
7,6250,110,85,1115,3,1,Grey,0,1600,5,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,179,19950
8,5000,110,85,1130,3,1,Grey,0,1600,5,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,180,21950
2,15,110,85,1130,3,1,Blue,0,1600,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,185,21500
1,1,98,19,1100,36,1,Grey,0,1400,4,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,186,17795
43,243000,69,185,1110,3,0,White,0,1300,3,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,188,6950
38,180638,90,210,1160,3,0,Red,0,1300,4,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,189,9500
40,179860,90,210,1205,3,1,Blue,0,1300,5,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,190,11950
44,158320,69,64,1110,3,0,White,0,1800,5,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,193,4350
40,130062,69,185,1140,3,1,Red,0,1300,5,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,195,11750
41,123425,69,185,1140,3,1,Blue,0,1300,5,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,196,13250
44,110000,69,185,1095,6,1,Silver,0,1300,5,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,198,11900
42,105699,97,69,1025,3,1,Grey,0,1400,3,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,200,9950
44,96829,110,85,1075,3,1,Red,0,1600,5,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,202,11495
40,96518,97,69,1025,12,1,Red,0,1400,3,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,203,11250
35,91456,69,185,1110,3,1,Red,0,1300,3,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,205,10450
43,89968,69,185,1140,3,1,Green,0,1300,5,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,206,12950
44,89757,110,69,1045,3,1,Black,0,1600,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,207,11500
43,85017,97,85,1060,3,0,Red,0,1400,5,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,209,10950
37,82743,110,197,1121,3,1,Green,0,1600,5,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,211,11950
41,81106,69,185,1140,3,1,Black,0,1300,5,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,212,13250
34,78677,110,85,1105,3,1,Blue,1,1600,5,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,214,11790
40,78425,110,85,1075,3,1,Blue,0,1600,5,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,215,11450
33,78108,90,210,1170,3,1,Grey,0,1300,3,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,216,13500
33,77321,110,85,1075,3,1,Grey,0,1600,5,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,217,10950
44,74172,110,163,1615,3,1,Black,0,1600,5,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,223,12450
44,71793,110,197,1067,3,1,Red,0,1600,4,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,225,14950
35,71200,110,85,1075,3,1,Green,0,1600,5,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,226,12450
38,67805,110,85,1075,3,1,Blue,0,1600,5,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,227,12950
35,65988,110,69,1040,3,1,Blue,0,1600,3,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,228,11950
34,65345,97,85,1060,3,1,Red,0,1400,5,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,229,11690
42,64564,110,85,1080,3,1,Silver,0,1600,5,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,230,12450
36,63459,97,85,1060,3,1,Green,0,1400,5,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,231,12750
33,62000,110,19,1075,12,1,Green,0,1600,5,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,233,12950
42,61300,97,69,1030,3,1,Blue,0,1400,3,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,234,11950
41,61000,110,85,1075,3,0,Red,0,1600,5,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,236,11900
38,60829,110,85,1075,3,1,Blue,0,1600,5,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,237,11650
44,60500,110,85,1075,12,0,Red,0,1600,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,10950
